latitude,longitude,kde,kde_norm
-41.7288,134.3913,1.891,3.1
-41.7288,134.9855,2.5,4.1
-41.7288,135.5797,3.251,5.33
-41.7288,136.1739,4.158,6.82
-41.7288,136.7681,5.234,8.59
-41.7288,137.3623,6.48,10.63
-41.7288,137.9565,7.894,12.95
-41.7288,138.5507,9.462,15.52
-41.7288,139.1449,11.163,18.31
-41.7288,139.7391,12.965,21.27
-41.7288,140.3333,14.829,24.33
-41.7288,140.9275,16.711,27.41
-41.7288,141.5217,18.567,30.46
-41.7288,142.1159,20.358,33.4
-41.7288,142.7101,22.058,36.19
-41.7288,143.3043,23.653,38.8
-41.7288,143.8986,25.137,41.24
-41.7288,144.4928,26.491,43.46
-41.7288,145.087,27.656,45.37
-41.7288,145.6812,28.509,46.77
-41.7288,146.2754,28.877,47.37
-41.7288,146.8696,28.585,46.89
-41.7288,147.4638,27.534,45.17
-41.7288,148.058,25.757,42.25
-41.7288,148.6522,23.422,38.42
-41.7288,149.2464,20.781,34.09
-41.7288,149.8406,18.088,29.67
-41.7288,150.4348,15.531,25.48
-41.7288,151.029,13.215,21.68
-41.7288,151.6232,11.171,18.33
-41.7288,152.2174,9.385,15.4
-41.7288,152.8116,7.829,12.84
-41.7288,153.4058,6.473,10.62
-41.7288,154.0,5.295,8.69
-41.161,132.0145,0.615,1.01
-41.161,132.6087,0.867,1.42
-41.161,133.2029,1.205,1.98
-41.161,133.7971,1.647,2.7
-41.161,134.3913,2.215,3.63
-41.161,134.9855,2.93,4.81
-41.161,135.5797,3.812,6.25
-41.161,136.1739,4.877,8.0
-41.161,136.7681,6.137,10.07
-41.161,137.3623,7.595,12.46
-41.161,137.9565,9.246,15.17
-41.161,138.5507,11.074,18.17
-41.161,139.1449,13.055,21.42
-41.161,139.7391,15.154,24.86
-41.161,140.3333,17.329,28.43
-41.161,140.9275,19.53,32.04
-41.161,141.5217,21.705,35.61
-41.161,142.1159,23.801,39.04
-41.161,142.7101,25.766,42.27
-41.161,143.3043,27.558,45.21
-41.161,143.8986,29.14,47.8
-41.161,144.4928,30.476,50.0
-41.161,145.087,31.509,51.69
-41.161,145.6812,32.145,52.73
-41.161,146.2754,32.259,52.92
-41.161,146.8696,31.728,52.05
-41.161,147.4638,30.488,50.01
-41.161,148.058,28.588,46.9
-41.161,148.6522,26.185,42.96
-41.161,149.2464,23.5,38.55
-41.161,149.8406,20.754,34.05
-41.161,150.4348,18.111,29.71
-41.161,151.029,15.662,25.69
-41.161,151.6232,13.441,22.05
-41.161,152.2174,11.444,18.77
-41.161,152.8116,9.657,15.84
-41.161,153.4058,8.065,13.23
-41.161,154.0,6.658,10.92
-40.5932,132.0145,0.702,1.15
-40.5932,132.6087,0.993,1.63
-40.5932,133.2029,1.382,2.27
-40.5932,133.7971,1.893,3.11
-40.5932,134.3913,2.549,4.18
-40.5932,134.9855,3.377,5.54
-40.5932,135.5797,4.398,7.21
-40.5932,136.1739,5.629,9.23
-40.5932,136.7681,7.081,11.62
-40.5932,137.3623,8.755,14.36
-40.5932,137.9565,10.644,17.46
-40.5932,138.5507,12.729,20.88
-40.5932,139.1449,14.985,24.58
-40.5932,139.7391,17.374,28.5
-40.5932,140.3333,19.858,32.58
-40.5932,140.9275,22.386,36.72
-40.5932,141.5217,24.904,40.85
-40.5932,142.1159,27.343,44.86
-40.5932,142.7101,29.622,48.59
-40.5932,143.3043,31.653,51.93
-40.5932,143.8986,33.355,54.72
-40.5932,144.4928,34.66,56.86
-40.5932,145.087,35.516,58.26
-40.5932,145.6812,35.872,58.85
-40.5932,146.2754,35.67,58.52
-40.5932,146.8696,34.862,57.19
-40.5932,147.4638,33.438,54.85
-40.5932,148.058,31.456,51.6
-40.5932,148.6522,29.049,47.65
-40.5932,149.2464,26.392,43.3
-40.5932,149.8406,23.655,38.81
-40.5932,150.4348,20.968,34.4
-40.5932,151.029,18.412,30.2
-40.5932,151.6232,16.021,26.28
-40.5932,152.2174,13.81,22.65
-40.5932,152.8116,11.782,19.33
-40.5932,153.4058,9.936,16.3
-40.5932,154.0,8.276,13.58
-40.0254,131.4203,0.547,0.9
-40.0254,132.0145,0.787,1.29
-40.0254,132.6087,1.117,1.83
-40.0254,133.2029,1.56,2.56
-40.0254,133.7971,2.143,3.52
-40.0254,134.3913,2.896,4.75
-40.0254,134.9855,3.845,6.31
-40.0254,135.5797,5.015,8.23
-40.0254,136.1739,6.421,10.53
-40.0254,136.7681,8.073,13.24
-40.0254,137.3623,9.966,16.35
-40.0254,137.9565,12.088,19.83
-40.0254,138.5507,14.418,23.65
-40.0254,139.1449,16.926,27.77
-40.0254,139.7391,19.583,32.13
-40.0254,140.3333,22.355,36.67
-40.0254,140.9275,25.205,41.35
-40.0254,141.5217,28.08,46.06
-40.0254,142.1159,30.901,50.69
-40.0254,142.7101,33.551,55.04
-40.0254,143.3043,35.884,58.87
-40.0254,143.8986,37.757,61.94
-40.0254,144.4928,39.059,64.08
-40.0254,145.087,39.741,65.19
-40.0254,145.6812,39.802,65.29
-40.0254,146.2754,39.273,64.43
-40.0254,146.8696,38.189,62.65
-40.0254,147.4638,36.597,60.04
-40.0254,148.058,34.564,56.7
-40.0254,148.6522,32.188,52.8
-40.0254,149.2464,29.588,48.54
-40.0254,149.8406,26.881,44.1
-40.0254,150.4348,24.162,39.64
-40.0254,151.029,21.5,35.27
-40.0254,151.6232,18.937,31.07
-40.0254,152.2174,16.503,27.07
-40.0254,152.8116,14.219,23.33
-40.0254,153.4058,12.102,19.85
-40.0254,154.0,10.166,16.68
-39.4576,131.4203,0.6,0.98
-39.4576,132.0145,0.868,1.42
