census_year,clue_small_area,venue_count,total_seats,avg_lat,avg_lon,outdoor_seats,avg_seats_per_venue,outdoor_seat_share_pct,venue_share_pct,venue_index_0_100
2012,Docklands,140,17903,-37.81735537833334,144.9444818310935,4342,127.9,24.3,7.5,12.1
2012,East Melbourne,47,6664,-37.81283289835443,144.9814841261772,900,141.8,13.5,2.5,3.6
2012,Kensington,29,5039,-37.79295522489796,144.92827588789797,301,173.8,6.0,1.5,2.0
2012,Melbourne (CBD),1110,89292,-37.81370701576099,144.96373098143744,14886,80.4,16.7,59.3,100.0
2012,Melbourne (Remainder),36,8792,-37.83905195130434,144.97843013053625,1761,244.2,20.0,1.9,2.6
2012,North Melbourne,88,4891,-37.802549045766426,144.95020324085402,786,55.6,16.1,4.7,7.3
2012,Parkville,31,2835,-37.793120963877556,144.9567155772653,1004,91.5,35.4,1.7,2.2
2012,Port Melbourne,15,1095,-37.825558208275865,144.91772008827587,335,73.0,30.6,0.8,0.7
2012,South Yarra,9,741,-37.835379149411764,144.98095064670588,128,82.3,17.3,0.5,0.2
2012,Southbank,113,14522,-37.82315515958823,144.96286434111767,2738,128.5,18.9,6.0,9.6
2012,West Melbourne (Industrial),7,399,-37.805696149999996,144.92104768833332,75,57.0,18.8,0.4,0.0
2012,West Melbourne (Residential),51,2938,-37.80819893630952,144.95121408517858,447,57.6,15.2,2.7,4.0
2013,Carlton,197,16018,-37.801021252283235,144.96613837562137,3706,81.3,23.1,10.0,16.5
2013,Docklands,140,17903,-37.817355980691055,144.94447887553252,4342,127.9,24.3,7.1,11.6
2013,East Melbourne,47,6664,-37.81283289772152,144.98148412613924,900,141.8,13.5,2.4,3.5
2013,Kensington,37,5448,-37.792910578983054,144.92765362044068,454,147.2,8.3,1.9,2.6
2013,Melbourne (CBD),1158,92309,-37.8136883738708,144.96378941582,15415,79.7,16.7,59.0,100.0
2013,Melbourne (Remainder),38,9058,-37.83991801478261,144.9784307948551,1913,238.4,21.1,1.9,2.7
2013,North Melbourne,88,4891,-37.802650368308825,144.95028219344118,786,55.6,16.1,4.5,7.0
2013,Parkville,31,2835,-37.79262717977778,144.95682427753334,1004,91.5,35.4,1.6,2.1
2013,Port Melbourne,16,1161,-37.82577606032258,144.91727185012903,399,72.6,34.4,0.8,0.8
2013,South Yarra,9,728,-37.83539784235295,144.9810636504706,145,80.9,19.9,0.5,0.2
2013,Southbank,145,18877,-37.82324157214612,144.96195517531052,3997,130.2,21.2,7.4,12.0
2013,West Melbourne (Industrial),7,399,-37.805696149999996,144.92104768922223,75,57.0,18.8,0.4,0.0
2013,West Melbourne (Residential),51,2938,-37.80819893630952,144.95121408532142,447,57.6,15.2,2.6,3.8
2014,Carlton,203,15919,-37.801208157851235,144.96597926773552,4084,78.4,25.7,9.8,16.4
2014,Docklands,181,21511,-37.81768746957237,144.94558481814803,4511,118.8,21.0,8.8,14.6
2014,East Melbourne,47,7494,-37.812995746625,144.9816371026875,896,159.4,12.0,2.3,3.3
2014,Kensington,37,5448,-37.79291057932203,144.92765360867796,454,147.2,8.3,1.8,2.4
2014,Melbourne (CBD),1196,96055,-37.81369051073553,144.96380736222605,15811,80.3,16.5,57.9,100.0
2014,Melbourne (Remainder),38,9058,-37.83991804855073,144.9784307556232,1913,238.4,21.1,1.8,2.5
2014,North Melbourne,92,5209,-37.80217968266666,144.94985499454,902,56.6,17.3,4.5,7.1
2014,Parkville,40,3726,-37.79278479360656,144.95684100719674,1256,93.2,33.7,1.9,2.7
2014,Port Melbourne,16,1161,-37.82587112225807,144.91710561954838,399,72.6,34.4,0.8,0.7
