rank,name,short_name,origin,badge,source_price_usd_per_kg,price_aud_approx,bean_count,price_label,au_favourite,source_note,source_url,bean_index,bean_col,bean_row,bean_unit_aud,full_label
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,18,17,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,19,18,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,20,19,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,21,20,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,22,21,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,23,22,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,24,23,0,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,25,0,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,26,1,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,27,2,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,28,3,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,29,4,1,1000,#1 Esmeralda Geisha
1,Hacienda La Esmeralda Geisha,Esmeralda Geisha,Panama,auction record,30204,46816,47,"A$46,816/kg",False,"Best of Panama auction record price, USD/kg",https://www.forbes.com/sites/annabel/2025/08/11/panamas-geisha-coffee-sets-a-record-price-its-source-is-worth-a-trip/,30,5,1,1000,#1 Esmeralda Geisha
