state_or_territory,average_flat_white_price_aud,cafes_priced,rank_most_expensive,country,coffee_type,size,milk_type,national_average_aud,national_price_range_aud,source,source_note
Northern Territory,5.36,54,1,Australia,Flat white,Small,Dairy milk,5.01,$2.50-$7.00,https://smallflatwhite.com/australia,Small Flat White Coffee Price Index; prices from phone surveys and menu extraction; most recent highest-confidence price; all prices refer to a small flat white with dairy milk.
Tasmania,5.14,174,2,Australia,Flat white,Small,Dairy milk,5.01,$2.50-$7.00,https://smallflatwhite.com/australia,Small Flat White Coffee Price Index; prices from phone surveys and menu extraction; most recent highest-confidence price; all prices refer to a small flat white with dairy milk.
South Australia,5.13,347,3,Australia,Flat white,Small,Dairy milk,5.01,$2.50-$7.00,https://smallflatwhite.com/australia,Small Flat White Coffee Price Index; prices from phone surveys and menu extraction; most recent highest-confidence price; all prices refer to a small flat white with dairy milk.
Western Australia,5.06,571,4,Australia,Flat white,Small,Dairy milk,5.01,$2.50-$7.00,https://smallflatwhite.com/australia,Small Flat White Coffee Price Index; prices from phone surveys and menu extraction; most recent highest-confidence price; all prices refer to a small flat white with dairy milk.
Queensland,5.05,1151,5,Australia,Flat white,Small,Dairy milk,5.01,$2.50-$7.00,https://smallflatwhite.com/australia,Small Flat White Coffee Price Index; prices from phone surveys and menu extraction; most recent highest-confidence price; all prices refer to a small flat white with dairy milk.
Australian Capital Territory,5.02,177,6,Australia,Flat white,Small,Dairy milk,5.01,$2.50-$7.00,https://smallflatwhite.com/australia,Small Flat White Coffee Price Index; prices from phone surveys and menu extraction; most recent highest-confidence price; all prices refer to a small flat white with dairy milk.
Victoria,5.0,1129,7,Australia,Flat white,Small,Dairy milk,5.01,$2.50-$7.00,https://smallflatwhite.com/australia,Small Flat White Coffee Price Index; prices from phone surveys and menu extraction; most recent highest-confidence price; all prices refer to a small flat white with dairy milk.
New South Wales,4.9,1485,8,Australia,Flat white,Small,Dairy milk,5.01,$2.50-$7.00,https://smallflatwhite.com/australia,Small Flat White Coffee Price Index; prices from phone surveys and menu extraction; most recent highest-confidence price; all prices refer to a small flat white with dairy milk.
